股票名稱,持股(千股),比例(%),增減
台積電,424515.0,64.1,+0.21%
鴻海,212049.0,3.9,-0.07%
聯發科,25609.0,3.77,-0.05%
台達電,33631.0,3.64,+0.16%
日月光投控,57282.0,1.68,+0.24%
中信金,307262.0,1.3,-0.03%
富邦金,145868.0,1.04,-0.08%
廣達,45778.0,1.01,-0.08%
聯電,202023.0,1.0,-0.07%
國泰金,162460.0,0.98,-0.06%
智邦,8588.0,0.91,+0.10%
台光電,4873.0,0.9,+0.18%
奇鋐,5614.0,0.75,+0.05%
台新新光金,376757.0,0.73,0.00%
玉山金,267257.0,0.71,-0.05%
元大金,188171.0,0.7,+0.01%
中華電,66061.0,0.67,-0.08%
致茂,6415.0,0.67,+0.14%
兆豐金,205271.0,0.63,-0.04%
國巨*,27045.0,0.61,-0.02%
南亞,84916.0,0.59,+0.04%
緯穎,1817.0,0.55,0.00%
緯創,52461.0,0.54,-0.04%
永豐金,206939.0,0.52,+0.02%
華碩,11921.0,0.48,-0.02%
華南金,162986.0,0.47,+0.02%
統一,85652.0,0.47,-0.05%
凱基金,270867.0,0.45,+0.03%
光寶科,33603.0,0.44,-0.03%
第一金,190009.0,0.43,-0.03%
南亞科,19437.0,0.42,-0.12%
世芯-KY,1363.0,0.36,-0.01%
健策,1440.0,0.34,-0.01%
貿聯-KY,3092.0,0.33,-0.01%
合庫金,181669.0,0.33,-0.03%
大立光,1678.0,0.32,-0.02%
中鋼,197388.0,0.31,-0.04%
瑞昱,8506.0,0.31,-0.04%
聯詠,10086.0,0.3,-0.02%
長榮,18779.0,0.28,-0.02%
台塑,71695.0,0.28,-0.01%
川湖,997.0,0.26,0.00%
和泰車,4969.0,0.22,0.00%
康霈*,16867.0,0.21,-0.03%
遠傳,30158.0,0.21,-0.02%
研華,7853.0,0.2,0.00%
台灣大,24581.0,0.2,-0.02%
統一超,9480.0,0.16,-0.01%
萬海,24211.0,0.14,-0.01%
台塑化,21818.0,0.09,0.00%
